_unit_id,_created_at,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,in_what_percentage_the_facilities_of_interest_tables_in_a_restaurant_seats_in_a_lecture_hall_or_gym_equipment_in_a_weighing_room_are_availableunoccupied,the_difficulty_of_this_task_is,id,image_url
552971033,9/18/2014 00:26:13,1398163778,9/18/2014 00:12:53,instagc,0.4441,22501383,USA,MO,Lone Jack,71.1.125.187,40,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 00:44:28,1398182563,9/18/2014 00:43:24,bitcoinget,0.7227,27316326,USA,CA,San Francisco,47.20.249.233,26,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 01:40:17,1398234696,9/18/2014 01:38:38,elite,0.5449,29013549,USA,CA,San Francisco,45.64.225.80,50,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 02:04:49,1398255657,9/18/2014 02:04:05,clixsense,0.3492,13959386,USA,CA,Sylmar,98.154.225.168,30,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 02:22:03,1398267876,9/18/2014 02:20:18,neodev,0.5023,25638993,USA,FL,Miami,108.76.254.42,60,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 02:48:25,1398293622,9/18/2014 02:46:42,neodev,0.3417,12153090,USA,IL,Lake Zurich,68.60.238.241,50,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 03:07:07,1398318973,9/18/2014 03:05:30,points4rewards,0.512,28703583,USA,"","",97.73.90.70,60,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 03:40:18,1398339434,9/18/2014 03:39:14,fusioncash,0.4633,10890345,USA,VA,Richmond,68.57.186.197,50,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 04:16:49,1398359754,9/18/2014 04:14:24,eup_slw,0.45,18329415,USA,PA,Folcroft,64.121.230.236,50,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 04:31:55,1398367652,9/18/2014 04:30:57,neodev,0.5239,11563866,USA,IL,Vernon Hills,24.13.205.245,70,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 09:02:17,1398474781,9/18/2014 09:00:07,clixsense,0.4241,20512953,USA,CA,Fairfield,76.232.182.5,30,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 09:51:07,1398488178,9/18/2014 09:48:25,fusioncash,0.4603,22134305,USA,PA,York,174.49.215.36,30,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 11:06:05,1398511203,9/18/2014 11:04:55,meprizescf,0.5619,28483210,USA,"","",75.143.134.247,25,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 12:19:15,1398537612,9/18/2014 12:15:43,meprizescf,0.5213,20411346,USA,TX,Sugar Land,71.30.184.46,40,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 15:21:03,1398601374,9/18/2014 15:20:04,instagc,0.5464,18181596,USA,NC,Raeford,75.190.254.250,50,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 15:39:24,1398611418,9/18/2014 15:37:46,clixsense,0.2456,10032240,USA,FL,Naples,76.101.211.223,40,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 17:36:03,1398677687,9/18/2014 17:35:00,clixsense,0.398,6334920,USA,NY,Syracuse,108.183.202.106,15,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 17:53:13,1398698702,9/18/2014 17:52:22,meprizescf,0.4802,19539728,USA,"","",71.240.215.32,40,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 18:26:39,1398720865,9/18/2014 18:25:12,clixsense,0.3086,6367785,USA,FL,Tarpon Springs,108.9.126.166,50,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971033,9/18/2014 19:47:35,1398764104,9/18/2014 19:45:59,clixsense,0.323,6418151,USA,NY,Rockaway Park,67.247.42.233,25,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
552971034,9/18/2014 00:35:51,1398173671,9/18/2014 00:35:16,bitcoinget,0.7227,27316326,USA,CA,San Francisco,47.20.249.233,35,Easy,percent02,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (2).jpg
552971034,9/18/2014 00:57:21,1398195483,9/18/2014 00:51:55,instagc,0.4441,22501383,USA,MO,Lone Jack,71.1.125.187,10,Easy,percent02,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (2).jpg
552971034,9/18/2014 01:59:51,1398251878,9/18/2014 01:58:38,elite,0.5449,29013549,USA,CA,San Francisco,45.64.225.80,70,Normal,percent02,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (2).jpg
