_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_many_people_can_you_see_in_the_image,the_difficulty_of_this_task_is,id,image_url
575325134,10/19/2014 00:23:16,1435149861,10/19/2014 00:21:31,false,zoombucks,0.9,5919735,USA,PA,Lansdale,96.245.83.248,21,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:04:00,1435177501,10/19/2014 01:02:06,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,20,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:05:39,1435179085,10/19/2014 01:03:22,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,20,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:16:35,1435188406,10/19/2014 01:15:16,false,clixsense,0.39,10390268,USA,NY,Kingston,100.40.134.199,30,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:17:12,1435188844,10/19/2014 01:16:37,false,coinworker,0.3733,23778084,USA,PA,State College,71.207.23.37,27,Hard,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:23:35,1435193641,10/19/2014 01:23:07,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,24,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:45:45,1435210917,10/19/2014 01:41:44,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.96,21,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:56:41,1435218965,10/19/2014 01:51:53,false,fusioncash,0.4119,19291730,USA,NC,Hickory,97.89.113.70,22,Hard,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 01:57:22,1435219611,10/19/2014 01:55:47,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,17,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325134,10/19/2014 02:19:37,1435238179,10/19/2014 02:18:55,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,20,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193111.jpg
575325135,10/19/2014 00:21:43,1435148792,10/19/2014 00:21:04,false,elite,0.9333,26090878,USA,CT,Litchfield,69.123.110.189,28,Easy,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 00:50:55,1435167733,10/19/2014 00:39:50,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,21,Normal,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 00:59:17,1435173729,10/19/2014 00:58:25,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,20,Normal,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 01:15:14,1435187491,10/19/2014 01:13:24,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,24,Hard,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 01:22:16,1435192690,10/19/2014 01:20:59,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,20,Normal,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 01:41:57,1435207812,10/19/2014 01:39:29,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,18,Normal,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 02:08:32,1435230101,10/19/2014 02:06:45,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,20,Normal,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 02:16:44,1435235859,10/19/2014 02:14:30,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,26,Easy,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 02:39:53,1435252658,10/19/2014 02:32:31,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,25,Easy,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
575325135,10/19/2014 02:49:12,1435258985,10/19/2014 02:48:08,false,gifthulk,0.5042,30142697,USA,FL,Jacksonville,24.129.68.254,20,Normal,count02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193229.jpg
